week_start,year,week_num,doy,brent_usd_bbl,coal_newcastle_usd_t,henry_hub_usd_mmbtu,mad_usd,bdi_index,freight_usgulf_morocco_usd_t,petcoke_fob_usgulf_usd_t,petcoke_cfr_morocco_usd_t,petcoke_cfr_morocco_mad_t,cimar_cement_prod_weekly_t,cimar_petcoke_consumed_weekly_t,cimar_purchase_flag,cimar_volume_purchased_t,cimar_price_paid_usd_t,cimar_price_paid_mad_t,sulphur_pct,cimar_annual_spend_mmad
2005-05-09,2005,19,129,53.92,50.78,8.125,8.7491,2556,19.45,32.55,52.0,455.0,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-05-16,2005,20,136,55.82,50.04,8.414,8.7319,2755,20.57,32.55,53.12,463.8,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-05-23,2005,21,143,55.39,52.97,7.266,8.7913,2833,20.77,33.43,54.2,476.5,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-05-30,2005,22,150,53.18,51.6,7.712,8.7954,2818,19.65,33.64,53.29,468.7,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-06-06,2005,23,157,55.26,49.6,8.052,8.8091,2506,19.75,32.48,52.23,460.1,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-06-13,2005,24,164,55.81,52.03,7.139,8.8392,2762,20.6,35.55,56.15,496.3,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-06-20,2005,25,171,54.28,49.07,7.03,8.7299,2637,19.89,33.02,52.91,461.9,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-06-27,2005,26,178,55.61,49.95,7.638,8.7637,3107,21.44,32.75,54.19,474.9,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-07-04,2005,27,185,52.9,50.42,7.104,8.8239,2662,19.65,32.39,52.04,459.2,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-07-11,2005,28,192,52.16,48.91,7.385,8.7932,2314,18.84,32.62,51.46,452.5,0,0,1,8852,50.35,442.7,5.34,16.4
2005-07-18,2005,29,199,52.89,49.61,7.151,8.7098,2568,19.85,33.51,53.36,464.8,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-07-25,2005,30,206,55.4,47.28,6.884,8.8117,2561,19.8,35.17,54.97,484.4,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-08-01,2005,31,213,54.63,50.76,7.467,8.82,2377,19.45,32.89,52.34,461.6,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-08-08,2005,32,220,53.42,48.36,7.278,8.9223,2064,18.5,31.26,49.76,444.0,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-08-15,2005,33,227,53.0,50.55,7.356,8.7138,2245,19.02,32.54,51.56,449.3,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-08-22,2005,34,234,53.85,49.03,7.246,8.9118,2464,17.64,32.85,50.49,450.0,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-08-29,2005,35,241,52.58,50.18,7.321,8.7729,2419,19.65,31.99,51.64,453.0,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-09-05,2005,36,248,52.96,48.32,7.496,8.8885,2383,17.97,32.95,50.92,452.6,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-09-12,2005,37,255,56.25,50.53,7.372,8.7502,2525,18.79,34.03,52.82,462.2,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-09-19,2005,38,262,54.39,47.82,7.995,8.5808,2100,17.91,31.52,49.43,424.1,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-09-26,2005,39,269,55.54,47.21,8.044,8.788,2542,18.3,33.26,51.56,453.1,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-10-03,2005,40,276,53.33,48.0,8.524,8.7922,2171,18.35,31.99,50.34,442.6,0,0,1,9809,49.66,436.6,5.51,16.4
2005-10-10,2005,41,283,53.48,50.51,9.099,8.7039,2670,18.28,33.04,51.32,446.7,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-10-17,2005,42,290,54.15,50.15,8.527,8.7672,2202,17.95,33.78,51.73,453.5,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-10-24,2005,43,297,53.88,48.96,9.254,8.7989,2451,19.57,32.1,51.67,454.6,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-10-31,2005,44,304,52.69,51.23,9.339,8.7787,2342,19.74,32.81,52.55,461.3,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-11-07,2005,45,311,54.27,50.11,9.214,8.8475,2491,19.82,34.12,53.94,477.2,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-11-14,2005,46,318,53.64,51.61,9.348,8.7999,2341,18.86,34.0,52.86,465.2,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-11-21,2005,47,325,52.6,53.87,9.236,8.7054,2602,20.12,34.59,54.71,476.3,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-11-28,2005,48,332,54.67,51.11,9.418,8.7847,2300,19.39,33.48,52.87,464.4,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-12-05,2005,49,339,52.81,50.91,10.062,8.7454,2306,18.87,33.33,52.2,456.5,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-12-12,2005,50,346,53.36,50.93,10.104,8.691,2235,17.95,33.11,51.06,443.8,0,0,1,9019,49.72,432.2,4.7,16.4
2005-12-19,2005,51,353,54.6,53.94,10.451,8.7702,2523,18.57,34.53,53.1,465.7,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-12-26,2005,52,360,53.91,52.51,9.841,8.8119,2841,20.14,34.22,54.36,479.0,0,0,0,0.0,0.0,0.0,0.0,16.4
2006-01-02,2006,1,2,66.27,60.8,7.984,8.8008,3255,21.44,38.5,59.94,527.5,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-01-09,2006,2,9,66.11,64.13,8.24,8.9326,3107,22.44,39.71,62.15,555.2,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-01-16,2006,3,16,69.02,60.53,7.674,8.7631,2846,20.59,38.26,58.85,515.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-01-23,2006,4,23,65.85,62.62,8.524,8.8585,3239,21.3,39.43,60.73,538.0,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-01-30,2006,5,30,63.59,65.26,8.272,8.7711,3025,22.63,39.35,61.98,543.6,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-02-06,2006,6,37,67.89,59.61,7.664,8.8003,3460,22.25,38.92,61.17,538.3,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-02-13,2006,7,44,64.26,62.12,7.827,8.8317,3646,22.17,37.24,59.41,524.7,0,0,1,11956,57.97,512.0,4.85,29.9
2006-02-20,2006,8,51,68.18,62.95,7.48,8.8956,3543,23.82,39.61,63.43,564.2,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-02-27,2006,9,58,69.55,65.35,7.543,8.8598,3690,24.36,39.73,64.09,567.8,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-03-06,2006,10,65,67.39,64.14,6.985,8.7271,3108,21.48,40.42,61.9,540.2,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-03-13,2006,11,72,68.78,62.42,7.878,8.715,3201,21.9,39.82,61.72,537.9,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-03-20,2006,12,79,66.32,58.72,7.244,8.7196,3749,23.68,37.02,60.7,529.3,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-03-27,2006,13,86,65.56,60.28,7.118,8.8588,3383,22.84,37.73,60.57,536.6,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-04-03,2006,14,93,65.11,61.72,6.706,8.7659,3336,23.94,38.6,62.54,548.2,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-04-10,2006,15,100,65.25,62.07,6.821,8.7864,3740,23.98,38.26,62.24,546.9,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-04-17,2006,16,107,65.42,61.03,6.089,8.7067,3900,25.14,38.19,63.33,551.4,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-04-24,2006,17,114,67.24,61.78,7.369,8.869,3548,22.05,37.61,59.66,529.1,0,0,1,13087,57.42,509.3,5.16,29.9
2006-05-01,2006,18,121,66.57,59.73,6.053,8.7602,3313,23.65,38.93,62.58,548.2,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-05-08,2006,19,128,66.14,63.22,6.299,8.7469,3875,24.15,38.36,62.51,546.8,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-05-15,2006,20,135,65.74,58.98,5.807,8.8571,3932,22.68,38.25,60.93,539.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-05-22,2006,21,142,64.88,59.35,5.881,8.7468,3479,21.98,37.97,59.95,524.4,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-05-29,2006,22,149,65.73,59.47,5.696,8.7645,3601,23.41,37.13,60.54,530.6,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-06-05,2006,23,156,65.84,60.85,5.421,8.8335,3241,22.53,37.77,60.3,532.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-06-12,2006,24,163,62.59,56.57,5.732,8.816,3143,22.33,35.07,57.4,506.0,0,0,1,10658,55.29,487.5,5.84,29.9
2006-06-19,2006,25,170,65.27,57.0,5.501,8.8029,3109,21.39,37.86,59.25,521.6,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-06-26,2006,26,177,64.28,60.18,5.338,8.8326,3581,20.87,37.24,58.11,513.3,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-07-03,2006,27,184,66.01,58.2,5.632,8.7628,3230,21.9,38.54,60.44,529.6,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-07-10,2006,28,191,65.32,58.89,5.434,8.77,3066,21.93,37.33,59.26,519.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-07-17,2006,29,198,65.23,61.61,5.711,8.7799,3389,22.1,36.83,58.93,517.4,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-07-24,2006,30,205,62.97,54.82,5.452,8.8011,3452,22.88,35.72,58.6,515.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-07-31,2006,31,212,65.82,54.11,5.611,8.8475,2699,21.6,36.46,58.06,513.7,0,0,1,11675,55.72,493.0,6.11,29.9
2006-08-07,2006,32,219,63.66,58.78,6.113,8.8112,3049,21.17,36.63,57.8,509.3,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-08-14,2006,33,226,65.57,56.21,5.682,8.7706,3065,21.88,37.68,59.56,522.4,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-08-21,2006,34,233,63.28,57.15,5.518,8.7726,3010,22.09,35.98,58.07,509.4,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-08-28,2006,35,240,65.43,59.88,5.931,8.9156,2723,19.67,36.53,56.2,501.1,0,0,1,12548,55.16,491.8,4.84,29.9
2006-09-04,2006,36,247,66.37,58.73,5.926,8.8172,2620,22.49,37.93,60.42,532.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-09-11,2006,37,254,64.05,58.92,6.171,8.8138,2678,20.99,39.0,59.99,528.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-09-18,2006,38,261,66.02,60.47,6.054,8.739,2815,21.0,39.25,60.25,526.5,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-09-25,2006,39,268,61.05,60.5,6.274,8.7737,2607,19.03,38.09,57.12,501.2,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-10-02,2006,40,275,63.92,55.92,6.12,8.7793,3210,21.76,35.23,56.99,500.3,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-10-09,2006,41,282,63.41,57.82,5.886,8.7967,2785,21.45,38.47,59.92,527.1,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-10-16,2006,42,289,65.68,58.04,6.445,8.9585,2860,21.08,37.44,58.52,524.3,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-10-23,2006,43,296,64.21,58.48,6.731,8.7663,2854,20.6,36.75,57.35,502.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-10-30,2006,44,303,64.13,58.55,7.455,8.6367,3128,22.8,35.64,58.44,504.7,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-11-06,2006,45,310,63.49,58.62,6.767,8.7521,2656,22.0,38.01,60.01,525.2,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-11-13,2006,46,317,66.21,60.74,6.974,8.7677,3046,20.53,39.05,59.58,522.4,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-11-20,2006,47,324,63.86,59.18,7.639,8.8274,2888,22.11,36.61,58.72,518.3,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-11-27,2006,48,331,65.38,61.1,7.448,8.8201,2725,21.49,38.26,59.75,527.0,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-12-04,2006,49,338,63.67,62.15,7.428,8.7132,2696,21.15,37.36,58.51,509.8,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-12-11,2006,50,345,67.52,57.17,8.258,8.813,3068,21.15,37.85,59.0,520.0,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-12-18,2006,51,352,64.75,62.8,7.843,8.8093,3052,21.52,39.12,60.64,534.2,0,0,0,0.0,0.0,0.0,0.0,29.9
2006-12-25,2006,52,359,62.18,58.94,8.1,8.8105,3139,21.81,37.39,59.2,521.6,0,0,0,0.0,0.0,0.0,0.0,29.9
2007-01-01,2007,1,1,71.45,69.66,8.255,8.4418,7307,28.41,55.57,83.98,708.9,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-01-08,2007,2,8,73.45,71.93,8.539,8.5991,7710,28.9,54.17,83.07,714.3,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-01-15,2007,3,15,71.64,71.7,8.395,8.4568,7400,29.64,54.47,84.11,711.3,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-01-22,2007,4,22,70.39,70.05,7.77,8.4419,7927,30.26,57.38,87.64,739.8,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-01-29,2007,5,29,73.99,72.37,7.905,8.5417,7212,30.34,59.21,89.55,764.9,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-02-05,2007,6,36,73.07,74.37,7.911,8.4979,8463,31.49,58.91,90.4,768.2,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-02-12,2007,7,43,74.66,71.13,8.282,8.5579,7972,29.63,54.82,84.45,722.7,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-02-19,2007,8,50,73.05,72.13,8.197,8.5106,7072,30.4,56.48,86.88,739.4,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-02-26,2007,9,57,74.62,74.38,8.169,8.5273,7762,29.19,57.56,86.75,739.7,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-03-05,2007,10,64,74.07,72.77,7.399,8.4357,8372,32.02,57.08,89.1,751.6,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-03-12,2007,11,71,73.81,72.23,7.966,8.4693,7937,30.83,55.42,86.25,730.5,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-03-19,2007,12,78,73.25,72.49,7.404,8.5747,7475,30.41,55.38,85.79,735.6,0,0,1,13039,84.38,723.5,5.32,59.7
2007-03-26,2007,13,85,76.46,72.29,7.717,8.4116,8068,32.59,56.72,89.31,751.2,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-04-02,2007,14,92,75.78,70.72,7.676,8.6368,7761,30.57,57.6,88.17,761.5,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-04-09,2007,15,99,76.69,70.49,6.998,8.4832,7266,29.24,54.7,83.94,712.1,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-04-16,2007,16,106,72.41,71.2,7.032,8.5923,7418,31.65,54.94,86.59,744.0,0,0,1,15755,86.46,742.9,4.96,59.7
2007-04-23,2007,17,113,73.66,72.31,6.51,8.5228,7964,31.97,56.31,88.28,752.4,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-04-30,2007,18,120,78.12,69.46,6.526,8.4629,7563,30.03,57.32,87.35,739.2,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-05-07,2007,19,127,76.15,69.28,6.306,8.528,7511,31.4,55.56,86.96,741.6,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-05-14,2007,20,134,70.73,73.08,6.844,8.4635,7528,31.03,55.97,87.0,736.3,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-05-21,2007,21,141,74.54,73.65,6.212,8.4525,6963,28.96,56.67,85.63,723.8,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-05-28,2007,22,148,76.46,68.4,6.192,8.499,8156,34.59,54.39,88.98,756.2,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-06-04,2007,23,155,72.17,71.1,6.195,8.6099,7768,30.68,55.81,86.49,744.7,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-06-11,2007,24,162,74.91,70.34,6.058,8.5635,7964,32.98,56.24,89.22,764.0,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-06-18,2007,25,169,72.43,68.71,6.142,8.4514,7469,30.16,54.22,84.38,713.1,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-06-25,2007,26,176,74.88,68.5,5.808,8.4191,7555,31.48,57.29,88.77,747.4,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-07-02,2007,27,183,71.83,68.27,5.81,8.5939,7035,30.23,54.58,84.81,728.8,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-07-09,2007,28,190,72.55,66.72,5.769,8.5639,6471,29.16,52.58,81.74,700.0,0,0,1,15070,79.28,678.9,6.22,59.7
2007-07-16,2007,29,197,74.21,64.4,5.588,8.5224,7657,30.84,52.21,83.05,707.8,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-07-23,2007,30,204,75.28,64.35,5.221,8.5262,6533,27.94,53.92,81.86,698.0,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-07-30,2007,31,211,72.16,65.9,5.457,8.5519,7012,29.76,55.13,84.89,726.0,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-08-06,2007,32,218,69.63,63.9,5.635,8.4973,6723,29.13,51.95,81.08,689.0,0,0,1,13251,79.14,672.5,5.44,59.7
2007-08-13,2007,33,225,69.17,69.59,5.838,8.5665,6692,29.88,54.43,84.31,722.2,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-08-20,2007,34,232,72.12,67.98,6.251,8.5117,6802,29.43,55.52,84.95,723.1,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-08-27,2007,35,239,69.98,70.23,6.018,8.4149,6451,28.2,55.22,83.42,702.0,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-09-03,2007,36,246,69.93,65.88,5.671,8.4731,5131,25.04,53.31,78.35,663.9,0,0,1,13984,75.27,637.8,5.84,59.7
2007-09-10,2007,37,253,72.47,67.65,6.011,8.4972,6291,27.39,55.54,82.93,704.7,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-09-17,2007,38,260,72.58,66.5,6.389,8.5124,5250,26.76,52.52,79.28,674.9,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-09-24,2007,39,267,69.15,66.53,6.988,8.5381,5961,28.84,54.12,82.96,708.3,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-10-01,2007,40,274,72.63,67.37,6.491,8.5415,6434,29.97,54.44,84.41,721.0,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-10-08,2007,41,281,72.86,66.43,7.171,8.5118,7276,29.51,55.4,84.91,722.7,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-10-15,2007,42,288,71.35,66.45,6.828,8.4809,6475,29.61,52.33,81.94,694.9,0,0,1,15552,79.91,677.7,5.93,59.7
2007-10-22,2007,43,295,71.0,72.15,7.605,8.526,6314,28.89,55.99,84.88,723.7,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-10-29,2007,44,302,69.27,67.77,6.777,8.5238,6659,28.76,54.88,83.64,712.9,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-11-05,2007,45,309,68.99,65.73,7.473,8.5623,7227,29.7,53.38,83.08,711.4,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-11-12,2007,46,316,71.25,68.57,7.812,8.5388,5672,29.4,55.48,84.88,724.8,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-11-19,2007,47,323,70.31,70.01,7.826,8.5155,6254,27.89,54.17,82.06,698.8,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-11-26,2007,48,330,73.7,70.63,7.679,8.5459,5194,28.26,53.16,81.42,695.8,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-12-03,2007,49,337,71.07,67.73,7.493,8.5691,6463,29.39,53.4,82.79,709.4,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-12-10,2007,50,344,72.75,70.38,7.586,8.5593,6544,27.35,54.43,81.78,700.0,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-12-17,2007,51,351,74.77,72.2,7.963,8.4792,6727,31.78,56.64,88.42,749.7,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-12-24,2007,52,358,73.0,72.86,8.217,8.4846,6890,29.6,55.97,85.57,726.0,0,0,0,0.0,0.0,0.0,0.0,59.7
2007-12-31,2007,1,365,73.72,71.24,8.425,8.4952,7129,27.78,56.65,84.43,717.2,0,0,0,0.0,0.0,0.0,0.0,59.7
2008-01-07,2008,2,7,81.85,93.56,10.586,8.0911,6280,34.01,74.76,108.77,880.1,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-01-14,2008,3,14,85.7,102.11,10.396,8.0822,6559,37.37,76.69,114.06,921.9,0,0,1,15158,110.46,892.8,5.51,90.8
2008-01-21,2008,4,21,89.55,110.67,10.005,7.9701,6839,42.33,79.54,121.87,971.3,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-01-28,2008,5,28,93.4,119.22,10.503,8.039,7119,40.89,84.35,125.24,1006.8,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-02-04,2008,6,35,97.25,127.78,10.509,8.11,7398,40.72,88.66,129.38,1049.3,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-02-11,2008,7,42,101.1,136.33,10.713,8.0232,7678,43.19,93.76,136.95,1098.8,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-02-18,2008,8,49,104.95,144.89,9.718,8.0385,7958,40.41,97.3,137.71,1107.0,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-02-25,2008,9,56,108.8,153.44,9.763,7.9306,8237,43.21,101.57,144.78,1148.2,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-03-03,2008,10,63,112.65,162.0,10.1,8.0105,8517,44.03,104.49,148.52,1189.7,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-03-10,2008,11,70,116.5,170.56,10.16,7.9742,8797,42.21,110.69,152.9,1219.3,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-03-17,2008,12,77,120.35,179.11,9.89,7.8797,9076,46.66,113.07,159.73,1258.6,0,0,1,13815,157.4,1240.3,5.02,90.8
2008-03-24,2008,13,84,124.2,187.67,9.493,7.875,9356,45.31,114.81,160.12,1260.9,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-03-31,2008,14,91,128.05,194.27,8.73,7.9615,9636,44.69,118.5,163.19,1299.2,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-04-07,2008,15,98,131.9,189.18,8.293,7.8281,9915,44.63,124.77,169.4,1326.1,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-04-14,2008,16,105,131.75,184.09,9.242,7.8158,10195,50.51,121.1,171.61,1341.3,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-04-21,2008,17,112,130.0,179.0,8.579,7.7074,10475,51.2,112.65,163.85,1262.9,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-04-28,2008,18,119,128.25,173.91,7.942,7.8925,10754,52.06,117.33,169.39,1336.9,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-05-05,2008,19,126,126.5,168.82,8.505,7.8616,11034,50.38,113.38,163.76,1287.4,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-05-12,2008,20,133,124.75,163.73,8.233,7.8281,11314,49.68,107.37,157.05,1229.4,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-05-19,2008,21,140,123.0,158.64,7.886,7.7239,11593,50.27,104.51,154.78,1195.5,0,0,0,0.0,0.0,0.0,0.0,90.8
2008-05-26,2008,22,147,121.25,153.55,7.477,7.8214,11502,52.24,106.61,158.85,1242.4,0,0,0,0.0,0.0,0.0,0.0,90.8
